Symbol,Company Name,Promoter Delta %,FII Delta %,DII Delta %,Mutual Fund Delta %,Pledge Delta %
ASMS,Avio Smart Market Stack Limited,0.0,0.0,0.0,0.0,0.0
ASPINWALL,Aspinwall and Company Limited,0.0,0.0,0.0,0.0,0.0
ASTAR,Asian Star Company Limited,0.0,0.0,0.0,0.0,0.0
ASTEC,Astec LifeSciences Limited,0.0,0.0,0.0,0.0,0.0
ASTERDM,Aster DM Healthcare Limited,0.0,0.0,0.0,0.0,0.0
ASTRAL,Astral Limited,0.0,0.0,0.0,0.0,0.0
ASTRAMICRO,Astra Microwave Products Limited,0.0,0.0,0.0,0.0,0.0
ASTRAZEN,AstraZeneca Pharma India Limited,0.0,0.0,0.0,0.0,0.0
ASTRON,Astron Paper & Board Mill Limited,0.0,0.0,0.0,0.0,0.0
ATALREAL,Atal Realtech Limited,0.0,0.0,0.0,0.0,0.0
ATAM,Atam Valves Limited,0.0,0.0,0.0,0.0,0.0
ATGL,Adani Total Gas Limited,0.0,0.0,0.0,0.0,0.0
ATHERENERG,Ather Energy Limited,0.0,0.0,0.0,0.0,0.0
ATL,Allcargo Terminals Limited,0.0,0.0,0.0,0.0,0.0
ATLANTAA,ATLANTAA LIMITED,0.0,0.0,0.0,0.0,0.0
ATLANTAELE,Atlanta Electricals Limited,0.0,0.0,0.0,0.0,0.0
ATLASCYCLE,Atlas Cycles (Haryana) Limited,0.0,0.0,0.0,0.0,0.0
ATUL,Atul Limited,0.0,0.0,0.0,0.0,0.0
ATULAUTO,Atul Auto Limited,0.0,0.0,0.0,0.0,0.0
AUBANK,AU Small Finance Bank Limited,0.0,0.0,0.0,0.0,0.0
AURIGROW,Auri Grow India Limited,0.0,0.0,0.0,0.0,0.0
AURIONPRO,Aurionpro Solutions Limited,0.0,0.0,0.0,0.0,0.0
AUROPHARMA,Aurobindo Pharma Limited,0.0,0.0,0.0,0.0,0.0
AURUM,Aurum PropTech Limited,0.0,0.0,0.0,0.0,0.0
AUSOMENT,Ausom Enterprise Limited,0.0,0.0,0.0,0.0,0.0
AUTOAXLES,Automotive Axles Limited,0.0,0.0,0.0,0.0,0.0
AUTOIND,Autoline Industries Limited,0.0,0.0,0.0,0.0,0.0
AVADHSUGAR,Avadh Sugar & Energy Limited,0.0,0.0,0.0,0.0,0.0
AVALON,Avalon Technologies Limited,0.0,0.0,0.0,0.0,0.0
AVANTEL,Avantel Limited,0.0,0.0,0.0,0.0,0.0
AVANTIFEED,Avanti Feeds Limited,0.0,0.0,0.0,0.0,0.0
